[Reaction removed]: (FP-rate, TP-rate) 
[                                 CYTK11n] : (0.069925, 0.086957) 
[                                  GLUCYS] : (0.069925, 0.086957) 
[                                  FATP6t] : (0.069925, 0.086957) 
[                                   CYTK7] : (0.069925, 0.086957) 
[                                   CHATn] : (0.069925, 0.086957) 
[                                    SBTR] : (0.075356, 0.130435) 
[                              FACOAL204i] : (0.069925, 0.086957) 
[                               P4508B13r] : (0.069925, 0.086957) 
[                                  CYTK2n] : (0.069925, 0.086957) 
[                                  UMPK2n] : (0.069925, 0.086957) 
[                                  ADNCYC] : (0.069925, 0.086957) 
[                             FACOAL245_2] : (0.069925, 0.086957) 
[                             FACOAL245_1] : (0.069925, 0.086957) 
[                                  OIVD3m] : (0.069925, 0.086957) 
[                                   VLCSp] : (0.069925, 0.086957) 
[                                   GCCam] : (0.069925, 0.086957) 
[                               FACOAL260] : (0.069925, 0.086957) 
[                                     ADA] : (0.069925, 0.086957) 
[              NRPPHRt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                  OIVD2m] : (0.069925, 0.086957) 
[                                 CYTK10n] : (0.069925, 0.086957) 
[                                   RDH3a] : (0.069925, 0.086957) 
[                              FACOAL2042] : (0.069925, 0.086957) 
[                                  FATP7t] : (0.069925, 0.086957) 
[                                   ARABR] : (0.069925, 0.086957) 
[                               FACOAL150] : (0.069925, 0.086957) 
[                                MI1345PP] : (0.069925, 0.086957) 
[                ABUTt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                   GLCt4] : (0.069925, 0.086957) 
[                                  PDX5PO] : (0.069925, 0.086957) 
[                                  CYTK3n] : (0.069925, 0.086957) 
[                                  GCC2am] : (0.069925, 0.086957) 
[                                  FATP8t] : (0.069925, 0.086957) 
[                                 AMETt2m] : (0.070604, 0.086957) 
[                                DHCR243r] : (0.069925, 0.086957) 
[                                  SMPD3l] : (0.069925, 0.086957) 
[                                 CYTK13n] : (0.069925, 0.086957) 
[                                  GLCt2r] : (0.069925, 0.086957) 
[                                    NCCt] : (0.069925, 0.086957) 
[                                  UMPK7n] : (0.069925, 0.086957) 
[                                GluForTx] : (0.069925, 0.086957) 
[                                  CYTK4n] : (0.069925, 0.086957) 
[                                    CYTD] : (0.069246, 0.086957) 
[                                    ADAe] : (0.069925, 0.086957) 
[                                    RAI3] : (0.069925, 0.086957) 
[                               FACOAL205] : (0.069925, 0.086957) 
[                               FACOAL204] : (0.069925, 0.086957) 
[                             FACOAL244_1] : (0.069925, 0.086957) 
[                               FACOAL200] : (0.069925, 0.086957) 
[                                  FATP9t] : (0.069925, 0.086957) 
[                                 HPYRR2x] : (0.069925, 0.086957) 
[                                   UMPK6] : (0.069925, 0.086957) 
[                                   G3PD1] : (0.069925, 0.086957) 
[                                 CYTK12n] : (0.069925, 0.086957) 
[                                   PPDOy] : (0.069925, 0.086957) 
[                                  5MTHFt] : (0.069925, 0.086957) 
[                                   DADAe] : (0.069925, 0.086957) 
[                                   MCLOR] : (0.069925, 0.086957) 
[                              FACOAL1832] : (0.069925, 0.086957) 
[                              FACOAL2252] : (0.069925, 0.086957) 
[                              FACOAL2251] : (0.069925, 0.086957) 
[                              FACOAL1831] : (0.069925, 0.086957) 
[                                   UMPK5] : (0.069925, 0.086957) 
[                                  CYTK5n] : (0.069925, 0.086957) 
[                                   UMPK2] : (0.069925, 0.086957) 
[                                    DADA] : (0.069925, 0.086957) 
[                                 MI145PP] : (0.069925, 0.086957) 
[                                  OPAHir] : (0.069925, 0.086957) 
[                                    CITL] : (0.069925, 0.086957) 
[                               FACOAL170] : (0.069925, 0.086957) 
[                                   ICDHy] : (0.069925, 0.086957) 
