[Reaction removed]: (FP-rate, TP-rate) 
[                                  UMPK2n] : (0.069925, 0.086957) 
[                                  PYRt2m] : (0.079430, 0.086957) 
[                                  ADNCYC] : (0.069925, 0.086957) 
[                             FACOAL245_2] : (0.069925, 0.086957) 
[                             FACOAL245_1] : (0.069925, 0.086957) 
[                                  OIVD3m] : (0.069925, 0.086957) 
[                                   VLCSp] : (0.069925, 0.086957) 
[                                   GCCam] : (0.069925, 0.086957) 
[                               FACOAL260] : (0.069925, 0.086957) 
[                             5HTRPVESSEC] : (0.069925, 0.086957) 
[                                   BTNt2] : (0.069925, 0.086957) 
[                                C226CPT1] : (0.069925, 0.086957) 
[                                C181CPT1] : (0.069925, 0.086957) 
[                                     ADA] : (0.069925, 0.086957) 
[                                UGT1A10r] : (0.069925, 0.086957) 
[                               GLYVESSEC] : (0.069925, 0.086957) 
[                                  OIVD2m] : (0.069925, 0.086957) 
[                                  PETHCT] : (0.069925, 0.086957) 
[                                   RDH3a] : (0.069925, 0.086957) 
[                              FACOAL2042] : (0.069925, 0.086957) 
[                                  BUTt2r] : (0.069925, 0.086957) 
[                                  FATP7t] : (0.069925, 0.086957) 
[                               TRIODTHYt] : (0.069925, 0.086957) 
[                              BALAVECSEC] : (0.069925, 0.086957) 
[                                  ACACt2] : (0.069925, 0.086957) 
[                            EICOSTETCPT1] : (0.069925, 0.086957) 
[                           FAOXC2251836x] : (0.069925, 0.086957) 
[                               FACOAL150] : (0.069925, 0.086957) 
[                                MI1345PP] : (0.069925, 0.086957) 
[                ABUTt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                   GLCt4] : (0.069925, 0.086957) 
[                                  AGPAT1] : (0.069925, 0.086957) 
[                                  PDX5PO] : (0.069925, 0.086957) 
[                          RTOTAL3CRNCPT1] : (0.069925, 0.086957) 
[                                  CYTK3n] : (0.069925, 0.086957) 
[                                C161CPT1] : (0.069925, 0.086957) 
[                                  GCC2am] : (0.069925, 0.086957) 
[                              DLNLCGCPT1] : (0.069925, 0.086957) 
[                                  FATP8t] : (0.069925, 0.086957) 
[                                 CYTK14n] : (0.069925, 0.086957) 
[                              TMNDNCCPT1] : (0.069925, 0.086957) 
[                                  AMACRp] : (0.069925, 0.086957) 
[                                   DCK2n] : (0.069925, 0.086957) 
[                            FAOXC226205x] : (0.069925, 0.086957) 
[                                LNLCCPT1] : (0.069925, 0.086957) 
[                                DHCR243r] : (0.069925, 0.086957) 
[                                  SMPD3l] : (0.069925, 0.086957) 
[                                 CYTK13n] : (0.069925, 0.086957) 
[                                  GLCt2r] : (0.069925, 0.086957) 
[                             HISTAVESSEC] : (0.069925, 0.086957) 
[                                    NCCt] : (0.069925, 0.086957) 
[                                ACOAD1fm] : (0.069925, 0.086957) 
[                                  UMPK7n] : (0.069925, 0.086957) 
[                                    NCKt] : (0.069925, 0.086957) 
[                                 ACACt2m] : (0.069925, 0.086957) 
[                                 UGT1A6r] : (0.069925, 0.086957) 
[          34DHPLACOX_LPAREN_NADP_RPAREN_] : (0.069925, 0.086957) 
[                             FAOXC18480x] : (0.069925, 0.086957) 
[                               ACETONEt2] : (0.073320, 0.086957) 
[                                GluForTx] : (0.069925, 0.086957) 
[                           ESTRADIOLGLCt] : (0.069925, 0.086957) 
[                                  CYTK4n] : (0.069925, 0.086957) 
[                                    CYTD] : (0.069246, 0.086957) 
[                                   FUMAC] : (0.069925, 0.086957) 
[                               FACOAL204] : (0.069925, 0.086957) 
[                                    RAI3] : (0.069925, 0.086957) 
[                            ADRNLPVESSEC] : (0.069925, 0.086957) 
[                           FAOXC2242046x] : (0.069925, 0.086957) 
[                               FACOAL205] : (0.069925, 0.086957) 
[                                  PYRt2p] : (0.069925, 0.086957) 
[                                   UMPK4] : (0.069925, 0.086957) 
[                               FACOAL200] : (0.069925, 0.086957) 
[                               FACOAL203] : (0.069925, 0.086957) 
[                                 AMACR2p] : (0.069925, 0.086957) 
[                                 HPYRR2x] : (0.069925, 0.086957) 
[                            FAOXC246226x] : (0.069925, 0.086957) 
[                            D_DASH_LACt2] : (0.069925, 0.086957) 
[                                   UMPK6] : (0.069925, 0.086957) 
[                                   G3PD1] : (0.069925, 0.086957) 
[                                 CYTK12n] : (0.069925, 0.086957) 
[                                   PPDOy] : (0.069925, 0.086957) 
[                                  5MTHFt] : (0.069925, 0.086957) 
[                            FAOXC183806x] : (0.069925, 0.086957) 
[                                   DADAe] : (0.069925, 0.086957) 
[                                   UREAt] : (0.069925, 0.086957) 
[                                   MCLOR] : (0.069925, 0.086957) 
[                              FACOAL1832] : (0.069925, 0.086957) 
[                             FACOAL246_1] : (0.069925, 0.086957) 
[                              FACOAL2251] : (0.069925, 0.086957) 
[                              FACOAL1831] : (0.069925, 0.086957) 
[                                   UMPK5] : (0.069925, 0.086957) 
[                                 UGT1A1r] : (0.069925, 0.086957) 
[                                  CYTK5n] : (0.069925, 0.086957) 
[                           FAOXC2452253x] : (0.069925, 0.086957) 
[                                   UMPK7] : (0.069925, 0.086957) 
[                                    DADA] : (0.069925, 0.086957) 
[                                 MI145PP] : (0.069925, 0.086957) 
[                                   GLXO1] : (0.069925, 0.086957) 
[                                  OPAHir] : (0.069925, 0.086957) 
[                            PTDCACRNCPT1] : (0.069925, 0.086957) 
[                                    CITL] : (0.069925, 0.086957) 
[                               FACOAL170] : (0.069925, 0.086957) 
[                                   ICDHy] : (0.069925, 0.086957) 
[                                   2HBt2] : (0.069925, 0.086957) 
